,quote
1118,"“Be grateful for what you already have while you pursue your goals. If you arenâ€™t grateful for what you already have, what makes you think you would be happy with more.”"
1119,“I dream my painting and I paint my dream.”
1120,“Forever is composed of nows.”
1121,"“Once you have tasted flight, you will forever walk the earth with your eyes turned skyward, for there you have been, and there you will always long to return.”"
1122,"“Education is an admirable thing, but it is well to remember from time to time that nothing that is worth knowing can be taught.”"
1123,“This is your life and its ending one moment at a time.”
1124,"“If you are allergic to a thing, it is best not to put that thing in your mouth, particularly if the thing is cats.”"
1125,"“People are more difficult to work with than machines. And when you break a person, he can't be fixed.”"
1126,"“The thing about growing up with Fred and George,"" said Ginny thoughtfully, ""is that you sort of start thinking anything's possible if you've got enough nerve.”"
1127,"“Treat everyone with politeness and kindness, not because they are nice, but because you are.”"
1128,"“Things we lose have a way of coming back to us in the end, if not always in the way we expect.”"
1129,“Books have a unique way of stopping time in a particular moment and saying: Letâ€™s not forget this.”
1130,“Start each day with a positive thought and a grateful heart.”
1131,"“Believe in Your HeartBelieve in your heart that you're meant to live a life full of passion, purpose, magic and miracles.”"
1132,"“That was the thing. You never got used to it, the idea of someone being gone. Just when you think it's reconciled, accepted, someone points it out to you, and it just hits you all over again, that shocking.”"
1133,"“Both Rowling and Meyer, theyâ€™re speaking directly to young people. â€¦ The real difference is that Jo Rowling is a terrific writer and Stephenie Meyer canâ€™t write worth a darn. Sheâ€™s not very good.”"
1134,"“Reading is escape, and the opposite of escape; it's a way to make contact with reality after a day of making things up, and it's a way of making contact with someone else's imagination after a day that's all too real.”"
1135,“A man can no more diminish God's glory by refusing to worship Him than a lunatic can put out the sun by scribbling the word 'darkness' on the walls of his cell.”
1136,“Never close your lips to those whom you have already opened your heart.”
1137,"“If you have two friends in your lifetime, you're lucky. If you have one good friend, you're more than lucky.”"
1138,"“One love, one heart, one destiny.”"
1139,"“Stories may well be lies, but they are good lies that say true things, and which can sometimes pay the rent.”"
1140,"“If you gave someone your heart and they died, did they take it with them? Did you spend the rest of forever with a hole inside you that couldn't be filled?”"
1141,"“I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life.”"
1142,"“The secret of health for both mind and body is not to mourn for the past, nor to worry about the future, but to live the present moment wisely and earnestly.”"
1143,"“Dance, when you're broken open. Dance, if you've torn the bandage off. Dance in the middle of the fighting. Dance in your blood. Dance when you're perfectly free.”"
1144,"“If she's amazing, she won't be easy. If she's easy, she won't be amazing. If she's worth it, you wont give up. If you give up, you're not worthy. ... Truth is, everybody is going to hurt you; you just gotta find the ones worth suffering for.”"
1145,"“The greater the love, the greater the tragedy when it's over.”"
1146,"“It isn't possible to love and part. You will wish that it was. You can transmute love, ignore it, muddle it, but you can never pull it out of you. I know by experience that the poets are right: love is eternal.”"
1147,"“The darker the night, the brighter the stars,  The deeper the grief, the closer is God!”"
1148,“I will not let anyone walk through my mind with their dirty feet.”
1149,"“Do you wish me a good morning, or mean that it is a good morning whether I want it or not; or that you feel good this morning; or that it is a morning to be good on?”"
1150,"“Finally, from so little sleeping and so much reading, his brain dried up and he went completely out of his mind.”"
1151,"“And on the subject of burning books: I want to congratulate librarians, not famous for their physical strength or their powerful political connections or their great wealth, who, all over this country, have staunchly resisted anti-democratic bullies who have tried to remove certain books from their shelves, and have refused to reveal to thought police the names of persons who have checked out those titles.So the America I loved still exists, if not in the White House or the Supreme Court or the Senate or the House of Representatives or the media. The America I love still exists at the front desks of our public libraries.”"
1152,“There are no faster or firmer friendships than those formed between people who love the same books.”
1153,“Don't take life too seriously. Punch it in the face when it needs a good hit. Laugh at it.”
1154,"“What you do, the way you think, makes you beautiful.”"
1155,"“When someone is crying, of course, the noble thing to do is to comfort them. But if someone is trying to hide their tears, it may also be noble to pretend you do not notice them.”"
1156,"“I, myself, am made entirely of flaws, stitched together with good intentions.”"
1157,"“No amount of regretting can change the past, and no amount of worrying can change the future.”"
1158,"“The Road goes ever on and onDown from the door where it began.Now far ahead the Road has gone,And I must follow, if I can,Pursuing it with eager feet,Until it joins some larger wayWhere many paths and errands meet.And whither then? I cannot say”"
1159,"“The individual has always had to struggle to keep from being overwhelmed by the tribe. If you try it, you will be lonely often, and sometimes frightened. But no price is too high to pay for the privilege of owning yourself.”"
1160,"“Reality is that which, when you stop believing in it, doesn't go away.”"
1161,"“When a man is denied the right to live the life he believes in, he has no choice but to become an outlaw.”"
1162,“We have to continually be jumping off cliffs and developing our wings on the way down.”
1163,"“Confront the dark parts of yourself, and work to banish them with illumination and forgiveness. Your willingness to wrestle with your demons will cause your angels to sing.”"
1164,“Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.”
1165,“Always do sober what you said you'd do drunk. That will teach you to keep your mouth shut.”
1166,“Do your thing and don't care if they like it.”
1167,"“Acts of Kindness:A random act of kindness, no matter how small, can make a tremendous impact on someone else's life.”"
1168,"“So be sure when you step, Step with care and great tact. And remember that life's A Great Balancing Act. And will you succeed? Yes! You will, indeed! (98 and Â¾ percent guaranteed) Kid, you'll move mountains.”"
1169,"“If I should ever die, God forbid, let this be my epitaph:THE ONLY PROOF HE NEEDEDFOR THE EXISTENCE OF GODWAS MUSIC”"
1170,“Why are women... so much more interesting to men than men are to women?”
1171,"“I do things like get in a taxi and say, ""The library, and step on it.”"
1172,"“I was thinking about the first time I ever saw you,"" he said, ""and how after that I couldn't forget you. I wanted to, but I couldn't stop myself. I forced Hodge to let me be the one who came to find you and bring you back to the Institue. And even back then, in that stupid coffee shop, when I saw you sitting on that couch with Simon, even then that felt wrong to me-- I should have been the one sitting with you. The one who made you laugh like that. I couldn't get rid of that feeling. That it should have been me. And the more I knew you, the more I felt it--it had never been like that for me before. I'd always wanted a girl and then gotten to know her and not wanted her anymore, but with you the feeling just got stronger and stronger until that night when you showed up at Renwick's and I knew.”"
1173,"“And so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, I had that familiar conviction that life was beginning over again with the summer.”"
1174,“A book must be the axe for the frozen sea within us.”
1175,“Solitude is fine but you need someone to tell that solitude is fine.”
1176,"“If you're lonely when you're alone, you're in bad company.”"
1177,"“Today a reader, tomorrow a leader.”"
1178,"“One cannot think well, love well, sleep well, if one has not dined well.”"
1179,"“Goodbye,"" said the fox. ""And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.”"
1180,"“But a mermaid has no tears, and therefore she suffers so much more.”"
1181,"“Is standing by the window muttering about blood something he does all the time?"" asked Simon.""No,"" Jace said. ""Sometimes he sits on the couch and does it.”"
1182,“It is a great thing to start life with a small number of really good books which are your very own.”
1183,"“It's not the face, but the expressions on it. It's not the voice, but what you say. It's not how you look in that body, but the thing you do with it. You are beautiful.”"
1184,"“Follow your heart, listen to your inner voice, stop caring about what others think.”"
1185,“Top 15 Things Money Canâ€™t BuyTime. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.”
1186,“Fighting for peace is like screwing for virginity.”
1187,"“It's not because I want to make out with her.""Hold on."" He grabbed a pencil and scrawled excitedly at the paper as if he'd just made a mathematical breakthrough and then looked back up at me. ""I just did some calculations, and I've been able to determine that you're full of shit”"
1188,“Ø£Ø­ÙŠØ§Ù†Ù‹Ø§ ÙŠØ³Ø§Ø¹Ø¯Ù†Ø§ Ø§Ù„Ø¢Ø®Ø±ÙˆÙ† Ø¨Ø£Ù† ÙŠÙƒÙˆÙ†ÙˆØ§ Ù�Ù‰ Ø­ÙŠØ§ØªÙ†Ø§ Ù�Ø­Ø³Ø¨”
1189,"“Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.”"
1190,“Have enough courage to trust love one more time and always one more time.”
1191,“I wantTo do with you what spring does with the cherry trees.”
1192,“You is kind. You is smart. You is important.”
1193,"“War must be, while we defend our lives against a destroyer who would devour all; but I do not love the bright sword for its sharpness, nor the arrow for its swiftness, nor the warrior for his glory. I love only that which they defend.”"
1194,"“If you want to really hurt you parents, and you don't have the nerve to be gay, the least you can do is go into the arts. I'm not kidding. The arts are not a way to make a living. They are a very human way of making life more bearable. Practicing an art, no matter how well or badly, is a way to make your soul grow, for heaven's sake. Sing in the shower. Dance to the radio. Tell stories. Write a poem to a friend, even a lousy poem. Do it as well as you possible can. You will get an enormous reward. You will have created something.”"
1195,"“Sometimes it seems safer to hold it all in, where the only person who can judge is yourself.”"
1196,"“If you are irritated by every rub, how will your mirror be polished?”"
1197,"“Every generation imagines itself to be more intelligent than the one that went before it, and wiser than the one that comes after it.”"
1198,"“How wrong is it for a woman to expect the man to build the world she wants, rather than to create it herself?”"
1199,"“Trees are poems the earth writes upon the sky, We fell them down and turn them into paper,That we may record our emptiness.”"
1200,“For last year's words belong to last year's language And next year's words await another voice.”
1201,"“After silence, that which comes nearest to expressing the inexpressible is music.”"
1202,"“Understanding is the first step to acceptance, and only with acceptance can there be recovery.”"
1203,"“Isabelle drifted over, Jace a pace behind her. She was wearing a long black dress with boots and an even longer cutaway coat of soft green velvet, the color of moss. ""I can't believe you did it!"" she exclaimed. ""How did you get Magnus to let Jace leave?""""Traded him for Alec,"" Clary said.Isabelle looked mildly alarmed. ""Not permanently?""""No,"" said Jace. ""Just for a few hours. Unless I don't come back,"" he added thoughtfully. ""In which case, maybe he does get to keep Alec. Think of it as a lease with an option to buy.""Isabelle looked dubious. ""Mom and Dad won't be pleased if they find out.""""That you freed a possible criminal by trading away your brother to a warlock who looks like a gay Sonic the Hedgehog and dresses like the Child Catcher from Chitty Chitty Bang Bang?"" Simon inquired. ""No, probably not.”"
1204,"“At some point, you just pull off the Band-Aid, and it hurts, but then it's over and you're relieved.”"
1205,"“And still, after all this time,The sun never says to the earth,""You owe Me.""Look what happens withA love like that,It lights the Whole Sky.”"
1206,"“Don't be satisfied with stories, how things have gone with others. Unfold your own myth.”"
1207,"“Isn't it odd how much fatter a book gets when you've read it several times?"" Mo had said...""As if something were left between the pages every time you read it. Feelings, thoughts, sounds, smells...and then, when you look at the book again many years later, you find yourself there, too, a slightly younger self, slightly different, as if the book had preserved you like a pressed flower...both strange and familiar.”"
1208,"“Despite my ghoulish reputation, I really have the heart of a small boy. I keep it in a jar on my desk.”"
1209,“You don't remember what happened. What you remember becomes what happened.”
1210,"“You're not to be so blind with patriotism that you can't face reality. Wrong is wrong, no matter who does it or says it.”"
1211,"“We are all alone, born alone, die alone, andâ€”in spite of True Romance magazinesâ€”we shall all someday look back on our lives and see that, in spite of our company, we were alone the whole way. I do not say lonelyâ€”at least, not all the timeâ€”but essentially, and finally, alone. This is what makes your self-respect so important, and I don't see how you can respect yourself if you must look in the hearts and minds of others for your happiness.”"
1212,"“They say when you are missing someone that they are probably feeling the same, but I don't think it's possible for you to miss me as much as I'm missing you right now”"
1213,“The world was hers for the reading.”
1214,"“Love is not affectionate feeling, but a steady wish for the loved person's ultimate good as far as it can be obtained.”"
1215,“The first draft of anything is shit.”
1216,"“Happiness is the consequence of personal effort. You fight for it, strive for it, insist upon it, and sometimes even travel around the world looking for it. You have to participate relentlessly in the manifestations of your own blessings. And once you have achieved a state of happiness, you must never become lax about maintaining it. You must make a mighty effort to keep swimming upward into that happiness forever, to stay afloat on top of it.”"
1217,“As if you were on fire from within.The moon lives in the lining of your skin.”
1218,“The measure of intelligence is the ability to change.”
1219,"“What makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well...”"
1220,"“When I was a boy of 14, my father was so ignorant I could hardly stand to have the old man around. But when I got to be 21, I was astonished at how much the old man had learned in seven years.”"
1221,“Perhaps it's impossible to wear an identity without becoming what you pretend to be.”
1222,"“Oh well... I'd just been thinking, if you had died, you'd have been welcome to share my toilet.”"
1223,"“It happens to everyone as they grow up. You find out who you are and what you want, and then you realize that people you've known forever don't see things the way you do. So you keep the wonderful memories, but find yourself moving on.”"
1224,"“I'm quite illiterate, but I read a lot. ”"
1225,"“We waste time looking for the perfect lover, instead of creating the perfect love.”"
1226,“Time is a drug. Too much of it kills you.”
1227,“Maybe everâ€™body in the whole damn world is scared of each other.”
1228,"“Is 'fat' really the worst thing a human being can be? Is 'fat' worse than 'vindictive', 'jealous', 'shallow', 'vain', 'boring' or 'cruel'? Not to me.”"
1229,"“If a book about failures doesn't sell, is it a success?”"
1230,“Imagine smiling after a slap in the face. Then think of doing it twenty-four hours a day.”
1231,"“You were born with wings, why prefer to crawl through life?”"
1232,“Wherever you go becomes a part of you somehow.”
1233,"“The function of prayer is not to influence God, but rather to change the nature of the one who prays.”"
1234,"“When you do things from your soul, you feel a river moving in you, a joy.”"
1235,“How did it get so late so soon?”
1236,"“I am an excitable person who only understands life lyrically, musically, in whom feelings are much stronger as reason. I am so thirsty for the marvelous that only the marvelous has power over me. Anything I can not transform into something marvelous, I let go. Reality doesn't impress me. I only believe in intoxication, in ecstasy, and when ordinary life shackles me, I escape, one way or another. No more walls.”"
1237,“I can resist anything except temptation.”
1238,“Atticus told me to delete the adjectives and I'd have the facts.”
1239,“Life shrinks or expands in proportion to one's courage.”
1240,“We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.”
1241,“I would like to be the air that inhabits you for a moment only. I would like to be that unnoticed and that necessary.”
1242,"“Maybe you can afford to wait. Maybe for you there's a tomorrow. Maybe for you there's one thousand tomorrows, or three thousand, or ten, so much time you can bathe in it, roll around it, let it slide like coins through you fingers. So much time you can waste it.But for some of us there's only today. And the truth is, you never really know.”"
1243,"“Don't stop there. I suppose there are also, what, vampires and werewolves and zombies?""""Of course there are. Although you mostly find zombies farther south, where the voudun priests are.""""What about mummies? Do they only hang around Egypt?""""Don't be ridiculous. No one believes in mummies.”"
1244,“Even death has a heart.”
1245,"“One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.”"
1246,“You speak an infinite deal of nothing.”
1247,"“It doesn't interest me what you do for a living. I want to know what you ache for, and if you dare to dream of meeting your heart's longing.It doesn't interest me how old you are. I want to know if you will risk looking like a fool for love, for your dream, for the adventure of being alive. It doesn't interest me what planets are squaring your moon. I want to know if you have touched the center of your own sorrow, if you have been opened by life's betrayals or have become shriveled and closed from fear of further pain!I want to know if you can sit with pain, mine or your own, without moving to hide it or fade it, or fix it. I want to know if you can be with joy, mine or your own, if you can dance with wildness and let the ecstasy fill you to the tips of your fingers and toes without cautioning us to be careful, to be realistic, to remember the limitations of being human. It doesn't interest me if the story you are telling me is true. I want to know if you can disappoint another to be true to yourself; if you can bear the accusation of betrayal and not betray your own soul; if you can be faithlessand therefore trustworthy. I want to know if you can see beauty even when it's not pretty, every day,and if you can source your own life from its presence. I want to know if you can live with failure, yours and mine, and still stand on the edge of the lake and shout to the silver of the full moon, â€œYes!â€�It doesn't interest me to know where you live or how much money you have. I want to know if you can get up, after the night of grief and despair, weary and bruised to the bone, and do what needs to be done to feed the children. It doesn't interest me who you know or how you came to be here. I want to know if you will stand in the center of the fire with me and not shrink back. It doesn't interest me where or what or with whom you have studied. I want to know what sustains you, from the inside, when all else falls away. I want to know if you can be alone with yourself and if you truly like the company you keep in the empty moments.”"
1248,“All you have to do is write one true sentence. Write the truest sentence that you know.”
1249,"“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book. And then there are books like An Imperial Affliction, which you can't tell people about, books so special and rare and yours that advertising your affection feels like betrayal”"
1250,"“A cynic is a man who knows the price of everything, and the value of nothing.”"
1251,"“He does something to me, that boy. Every time. Itâ€™s his only detriment. He steps on my heart. He makes me cry.”"
1252,“Gravitation is not responsible for people falling in love.”
1253,"“You know, when it works, love is pretty amazing. It's not overrated. There's a reason for all those songs.”"
1254,"“To me, Fearless is not the absense of fear. It's not being completely unafraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death.”"
1255,“But in the end one needs more courage to live than to kill himself.”
1256,"“The moment you doubt whether you can fly, you cease for ever to be able to do it.”"
1257,“Say 'provoking' again. Your mouth looks provocative when you do.”
1258,"“There are three types of lies -- lies, damn lies, and statistics.”"
1259,"“Words are easy, like the wind; Faithful friends are hard to find.”"
1260,“I dream. Sometimes I think that's the only right thing to do.”
1261,"“Don't be afraid of death; be afraid of an unlived life. You don't have to live forever, you just have to live.”"
1262,"“The very least you can do in your life is figure out what you hope for. And the most you can do is live inside that hope. Not admire it from a distance but live right in it, under its roof.”"
1263,"“I could easily forgive his pride, if he had not mortified mine.”"
1264,"“Don't you think it's better to be extremely happy for a short while, even if you lose it, than to be just okay for your whole life?”"
1265,"“I can listen no longer in silence. I must speak to you by such means as are within my reach. You pierce my soul. I am half agony, half hope. Tell me not that I am too late, that such precious feelings are gone for ever. I offer myself to you again with a heart even more your own than when you almost broke it, eight years and a half ago. Dare not say that man forgets sooner than woman, that his love has an earlier death. I have loved none but you. Unjust I may have been, weak and resentful I have been, but never inconstant. You alone have brought me to Bath. For you alone, I think and plan. Have you not seen this? Can you fail to have understood my wishes? I had not waited even these ten days, could I have read your feelings, as I think you must have penetrated mine. I can hardly write. I am every instant hearing something which overpowers me. You sink your voice, but I can distinguish the tones of that voice when they would be lost on others. Too good, too excellent creature! You do us justice, indeed. You do believe that there is true attachment and constancy among men. Believe it to be most fervent, most undeviating, in F. W.I must go, uncertain of my fate; but I shall return hither, or follow your party, as soon as possible. A word, a look, will be enough to decide whether I enter your father's house this evening or never.”"
1266,"“Someone I loved once gave me a box full of darkness. It took me years to understand that this too, was a gift.”"
1267,"“You need to learn how to select your thoughts just the same way you select your clothes every day. This is a power you can cultivate. If you want to control things in your life so bad, work on the mind. That's the only thing you should be trying to control.”"
1268,"“You will do foolish things, but do them with enthusiasm.”"
1269,“Life appears to me too short to be spent in nursing animosity or registering wrongs.”
1270,"“Don't part with your illusions. When they are gone you may still exist, but you have ceased to live.”"
1271,“You know what charm is: a way of getting the answer yes without having asked any clear question.”
1272,"“You see things; you say, 'Why?' But I dream things that never were; and I say 'Why not?”"
1273,"“People say that life is the thing, but I prefer reading.”"
1274,“â€ŽThough nobody can go back and make a new beginning... Anyone can start over and make a new ending.”
1275,"“Yeah, Quirrell was a great teacher. There was just that minor drawback of him having Lord Voldemort sticking out of the back of his head!”"
1276,“Never be afraid to trust an unknown future to a known God.”
1277,"“Grover was sniffing the wind, looking nervous. He fished out his acorns and threw them into the sand, then played his pipes. They rearranged themselves in a pattern that made no sense to me, but Grover looked concerned. ""That's us,"" he said. ""Those five nuts right there."" ""Which one is me?"" I asked. ""The little deformed one,"" Zoe suggested. ""Oh, shut up.”"
1278,“I love you like a fat kid loves cake!”
1279,"“Tonight I can write the saddest linesI loved her, and sometimes she loved me too.”"
1280,"“There are darknesses in life and there are lights, and you are one of the lights, the light of all lights.”"
1281,“We should consider every day lost on which we have not danced at least once.”
1282,“An expert is a person who has made all the mistakes that can be made in a very narrow field.”
1283,"“I will have you without armor, Kaz Brekker. Or I will not have you at all.”"
1284,"“You might be poor, your shoes might be broken, but your mind is a palace.”"
1285,"“Itâ€™s probably not just by chance that Iâ€™m alone. It would be very hard for a man to live with me, unless heâ€™s terribly strong. And if heâ€™s stronger than I, Iâ€™m the one who canâ€™t live with him. â€¦ Iâ€™m neither smart nor stupid, but I donâ€™t think Iâ€™m a run-of-the-mill person. Iâ€™ve been in business without being a businesswoman, Iâ€™ve loved without being a woman made only for love. The two men Iâ€™ve loved, I think, will remember me, on earth or in heaven, because men always remember a woman who caused them concern and uneasiness. Iâ€™ve done my best, in regard to people and to life, without precepts, but with a taste for justice.”"
1286,"“It was not the feeling of completeness I so needed, but the feeling of not being empty.”"
1287,"“Live in the present, remember the past, and fear not the future, for it doesn't exist and never shall. There is only now.”"
1288,“It is not that I'm so smart. But I stay with the questions much longer.”
1289,"“I am a cage, in search of a bird.”"
1290,"“And when her lips met mine, I knew that I could live to be a hundred and visit every country in the world, but nothing would ever compare to that single moment when I first kissed the girl of my dreams and knew that my love would last forever.”"
1291,“To say goodbye is to die a little.”
1292,"“Welcome to the wonderful world of jealousy, he thought. For the price of admission, you get a splitting headache, a nearly irresistable urge to commit murder, and an inferiority complex. Yippee.”"
1293,"“Whatever the cost of our libraries, the price is cheap compared to that of an ignorant nation.”"
1294,"“Don't feel bad, I'm usually about to die.”"
1295,“I'm sure the universe is full of intelligent life. It's just been too intelligent to come here.”
1296,“The best books... are those that tell you what you know already.”
1297,"“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”"
1298,“There are years that ask questions and years that answer.”
1299,"“When I discover who I am, Iâ€™ll be free.”"
1300,“We are just an advanced breed of monkeys on a minor planet of a very average star. But we can understand the Universe. That makes us something very special.”
1301,"“You here to finish me off, Sweetheart?”"
1302,“Look after my heart - I've left it with you.”
1303,“Growing apart doesn't change the fact that for a long time we grew side by side; our roots will always be tangled. I'm glad for that.”
1304,"“If you ever find yourself in the wrong story, leave.”"
1305,"“The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well.”"
1306,"“The beginning of love is the will to let those we love be perfectly themselves, the resolution not to twist them to fit our own image. If in loving them we do not love what they are, but only their potential likeness to ourselves, then we do not love them: we only love the reflection of ourselves we find in them”"
1307,"“If you want to be a writer, you must do two things above all others: read a lot and write a lot.”"
1308,"“I can shake off everything as I write; my sorrows disappear, my courage is reborn.”"
1309,"“Success is getting what you want, happiness is wanting what you get”"
1310,“Many a book is like a key to unknown chambers within the castle of oneâ€™s own self.”
1311,"“Don't bend; don't water it down; don't try to make it logical; don't edit your own soul according to the fashion. Rather, follow your most intense obsessions mercilessly.”"
1312,"“Suffering has been stronger than all other teaching, and has taught me to understand what your heart used to be. I have been bent and broken, but - I hope - into a better shape.”"
1313,"“The most beautiful things in the world cannot be seen or touched, they are felt with the heart.”"
1314,"“So you're always honest,"" I said.""Aren't you?""""No,"" I told him. ""I'm not.""""Well, that's good to know, I guess.""""I'm not saying I'm a liar,"" I told him. He raised his eyebrows. ""That's not how I meant it, anyways.""""How'd you mean it, then?""""I just...I don't always say what I feel.""""Why not?""""Because the truth sometimes hurts,"" I said.""Yeah,"" he said. ""So do lies, though.”"
1315,"“The meek may inherit the earth, but at the moment it belongs to the conceited. Like me.”"
1316,“If you do not tell the truth about yourself you cannot tell it about other people.”
1317,"“Books should go where they will be most appreciated, and not sit unread, gathering dust on a forgotten shelf, don't you agree?”"
1318,"“Love is an untamed force. When we try to control it, it destroys us. When we try to imprison it, it enslaves us. When we try to understand it, it leaves us feeling lost and confused.”"
1319,"“When we are tired, we are attacked by ideas we conquered long ago.”"
1320,"“So it's you and a syringe against the Capitol? See, this is why no one lets you make the plans.”"
1321,"“You must make a decision that you are going to move on. It wont happen automatically. You will have to rise up and say, â€˜I donâ€™t care how hard this is, I donâ€™t care how disappointed I am, Iâ€™m not going to let this get the best of me. Iâ€™m moving on with my life.”"
1322,"“Words are pale shadows of forgotten names. As names have power, words have power. Words can light fires in the minds of men. Words can wring tears from the hardest hearts.”"
1323,“Be brave to stand for what you believe in even if you stand alone.”
1324,"“The best moments in reading are when you come across something â€“ a thought, a feeling, a way of looking at things â€“ which you had thought special and particular to you. Now here it is, set down by someone else, a person you have never met, someone even who is long dead. And it is as if a hand has come out and taken yours.”"
1325,"“I crave your mouth, your voice, your hair.Silent and starving, I prowl through the streets. Bread does not nourish me, dawn disrupts me, all day I hunt for the liquid measure of your steps. I hunger for your sleek laugh, your hands the color of a savage harvest, hunger for the pale stones of your fingernails, I want to eat your skin like a whole almond. I want to eat the sunbeam flaring in your lovely body, the sovereign nose of your arrogant face, I want to eat the fleeting shade of your lashes, and I pace around hungry, sniffing the twilight, hunting for you, for your hot heart, Like a puma in the barrens of Quitratue.”"
1326,"“If you want to tell people the truth, make them laugh, otherwise they'll kill you.”"
1327,"“Clary, Despite everything, I can't bear the thought of this ring being lost forever, any more then I can bear the thought of leaving you forever. And though I have no choice about the one, at least I can choose about the other. I'm leaving you our family ring because you have as much right to it as I do.I'm writing this watching the sun come up. You're asleep, dreams moving behind your restless eyelids. I wish I knew what you were thinking. I wish I could slip into your head and see the world the way you do. I wish I could see myself the way you do. But maybe I dont want to see that. Maybe it would make me feel even more than I already do that I'm perpetuating some kind of Great Lie on you, and I couldn't stand that. I belong to you. You could do anything you wanted with me and I would let you. You could ask anything of me and I'd break myself trying to make you happy. My heart tells me this is the best and greatest feeling I have ever had. But my mind knows the difference between wanting what you can't have and wanting what you shouldn't want. And I shouldn't want you.All night I've watched you sleeping, watched the moonlight come and go, casting its shadows across your face in black and white. I've never seen anything more beautiful. I think of the life we could have had if things were different, a life where this night is not a singular event, separate from everything else that's real, but every night. But things aren't different, and I can't look at you without feeling like I've tricked you into loving me.The truth no one is willing to say out loud is that no one has a shot against Valentine but me. I can get close to him like no one else can. I can pretend I want to join him and he'll believe me, up until that last moment where I end it all, one way or another. I have something of Sebastian's; I can track him to where my father's hiding, and that's what I'm going to do. So I lied to you last night. I said I just wanted one night with you. But I want every night with you. And that's why I have to slip out of your window now, like a coward. Because if I had to tell you this to your face, I couldn't make myself go. I don't blame you if you hate me, I wish you would. As long as I can still dream, I will dream of you. _Jace”"
1328,"“Have you ever noticed that anybody driving slower than you is an idiot, and anyone going faster than you is a maniac?”"
1329,"“If I got rid of my demons, Iâ€™d lose my angels.”"
1330,“Don't feel sorry for yourself. Only assholes do that.”
1331,"“He smiled understandingly-much more than understandingly. It was one of those rare smiles with a quality of eternal reassurance in it, that you may come across four or five times in life. It faced--or seemed to face--the whole eternal world for an instant, and then concentrated on you with an irresistible prejudice in your favor. It understood you just as far as you wanted to be understood, believed in you as you would like to believe in yourself, and assured you that it had precisely the impression of you that, at your best, you hoped to convey.”"
1332,“The only way to get through life is to laugh your way through it. You either have to laugh or cry. I prefer to laugh. Crying gives me a headache.”
1333,"“How do you spell 'love'?"" - Piglet""You don't spell it...you feel it."" - Pooh”"
1334,"“It's just that most really good-looking people are stupid, so I exceed expectations.''Right, it's primarily his hotness,' I said.'It can be sort of blinding,' he said.'It actually did blind our friend Isaac,' I said.'Terrible tragedy, that. But can I help my own deadly beauty?''You cannot.''It is my burden, this beautiful face.''Not to mention your body.''Seriously, don't even get me started on my hot bod. You don't want to see me naked, Dave. Seeing me naked actually took Hazel Grace's breath away,' he said, nodding toward the oxygen tank.”"
1335,"“Life, he realize, was much like a song. In the beginning there is mystery, in the end there is confirmation, but it's in the middle where all the emotion resides to make the whole thing worthwhile.”"
1336,"“I wasn't actually in love, but I felt a sort of tender curiosity.”"
1337,"“Everything can be taken from a man but one thing: the last of the human freedomsâ€”to choose oneâ€™s attitude in any given set of circumstances, to choose oneâ€™s own way.”"
1338,“Education is the ability to listen to almost anything without losing your temper or your self-confidence.”
1339,“You can't measure the mutual affection of two human beings by the number of words they exchange.”
1340,"“You couldn't relive your life, skipping the awful parts, without losing what made it worthwhile. You had to accept it as a whole--like the world, or the person you loved.”"
1341,"“â€ŽLife is a shipwreck, but we must not forget to sing in the lifeboats.”"
1342,“Happiness [is] only real when shared”
1343,"“There are three rules for writing a novel. Unfortunately, no one knows what they are.”"
1344,"“Travel is fatal to prejudice, bigotry, and narrow-mindedness, and many of our people need it sorely on these accounts. Broad, wholesome, charitable views of men and things cannot be acquired by vegetating in one little corner of the earth all one's lifetime.”"
1345,"“Love is a temporary madness, it erupts like volcanoes and then subsides. And when it subsides, you have to make a decision. You have to work out whether your roots have so entwined together that it is inconceivable that you should ever part. Because this is what love is. Love is not breathlessness, it is not excitement, it is not the promulgation of promises of eternal passion, it is not the desire to mate every second minute of the day, it is not lying awake at night imagining that he is kissing every cranny of your body. No, don't blush, I am telling you some truths. That is just being ""in love"", which any fool can do. Love itself is what is left over when being in love has burned away, and this is both an art and a fortunate accident.”"
1346,“That it will never come again is what makes life so sweet.”
1347,“People demand freedom of speech as a compensation for the freedom of thought which they seldom use.”
